Locus,Taxon,Query_Length,Target_Length
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,5_A_christyi,438,441
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,7_A_darlingi,438,438
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,8_A_dirus,438,436
ANODA00759_OMA823022_W5JJE7_Anopheles_darlingi,9_A_epiroctus,438,296
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,11_funestris,816,763
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,12_A_gambiae,816,395
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,13_A_maculatus,816,418
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,14_A_melas,816,551
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,15_A_merus,816,541
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,16_A_minimus,816,715
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,17_A_quad_combined,816,418
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,18_A_sinensis,816,158
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,19_A_stephensi,816,719
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,1_A_aegypti,816,496
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,21_C_quinquefasciatus,816,562
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,2_A_albimanus,816,812
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,3_A_arabiensis,816,817
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,4_A_atroparvus,816,174
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,5_A_christyi,816,569
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,7_A_darlingi,816,815
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,8_A_dirus,816,679
ANODA00788_OMA1231901_W5JG31_Anopheles_darlingi,9_A_epiroctus,816,613
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,11_funestris,296,293
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,12_A_gambiae,296,288
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,14_A_melas,296,168
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,17_A_quad_combined,296,202
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,19_A_stephensi,296,294
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,2_A_albimanus,296,296
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,3_A_arabiensis,296,293
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,5_A_christyi,296,198
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,7_A_darlingi,296,294
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,8_A_dirus,296,293
ANODA00790_OMA1240328_W5JCE9_Anopheles_darlingi,9_A_epiroctus,296,98
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,11_funestris,264,264
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,12_A_gambiae,264,217
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,13_A_maculatus,264,196
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,14_A_melas,264,218
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,15_A_merus,264,185
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,16_A_minimus,264,214
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,17_A_quad_combined,264,260
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,18_A_sinensis,264,77
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,19_A_stephensi,264,252
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,1_A_aegypti,264,213
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,21_C_quinquefasciatus,264,213
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,2_A_albimanus,264,219
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,3_A_arabiensis,264,264
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,4_A_atroparvus,264,50
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,5_A_christyi,264,264
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,7_A_darlingi,264,264
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,8_A_dirus,264,217
ANODA00791_OMA1240325_W5JBD4_Anopheles_darlingi,9_A_epiroctus,264,189
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,10_A_farauti,674,210
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,11_funestris,674,673
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,12_A_gambiae,674,506
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,14_A_melas,674,285
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,16_A_minimus,674,99
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,17_A_quad_combined,674,156
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,18_A_sinensis,674,101
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,19_A_stephensi,674,570
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,1_A_aegypti,674,194
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,20_D_melanogaster,674,145
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,2_A_albimanus,674,650
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,3_A_arabiensis,674,561
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,5_A_christyi,674,251
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,7_A_darlingi,674,668
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,8_A_dirus,674,494
ANODA01117_OMA977782_W5JLM0_Anopheles_darlingi,9_A_epiroctus,674,135
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,11_funestris,916,901
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,12_A_gambiae,916,772
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,13_A_maculatus,916,377
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,14_A_melas,916,489
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,15_A_merus,916,405
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,16_A_minimus,916,547
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,17_A_quad_combined,916,582
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,18_A_sinensis,916,429
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,19_A_stephensi,916,700
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,1_A_aegypti,916,423
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,20_D_melanogaster,916,355
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,21_C_quinquefasciatus,916,453
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,2_A_albimanus,916,923
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,3_A_arabiensis,916,889
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,4_A_atroparvus,916,368
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,5_A_christyi,916,480
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,7_A_darlingi,916,912
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,8_A_dirus,916,743
ANODA01152_OMA842298_W5JFX5_Anopheles_darlingi,9_A_epiroctus,916,478
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,11_funestris,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,12_A_gambiae,117,108
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,13_A_maculatus,117,41
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,14_A_melas,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,15_A_merus,117,105
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,16_A_minimus,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,17_A_quad_combined,117,52
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,18_A_sinensis,117,110
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,1_A_aegypti,117,111
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,21_C_quinquefasciatus,117,59
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,2_A_albimanus,117,113
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,3_A_arabiensis,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,4_A_atroparvus,117,48
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,5_A_christyi,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,7_A_darlingi,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,8_A_dirus,117,109
ANODA01246_OMA1139777_W5JTS1_Anopheles_darlingi,9_A_epiroctus,117,109
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,11_funestris,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,12_A_gambiae,426,391
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,13_A_maculatus,426,385
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,14_A_melas,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,15_A_merus,426,402
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,16_A_minimus,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,17_A_quad_combined,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,18_A_sinensis,426,349
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,19_A_stephensi,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,1_A_aegypti,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,20_D_melanogaster,426,420
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,21_C_quinquefasciatus,426,419
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,2_A_albimanus,426,423
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,3_A_arabiensis,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,4_A_atroparvus,426,403
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,5_A_christyi,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,7_A_darlingi,426,424
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,8_A_dirus,426,426
ANODA01312_OMA961398_W5JLE7_Anopheles_darlingi,9_A_epiroctus,426,357
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,11_funestris,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,12_A_gambiae,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,13_A_maculatus,201,181
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,14_A_melas,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,15_A_merus,201,202
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,16_A_minimus,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,17_A_quad_combined,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,18_A_sinensis,201,180
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,19_A_stephensi,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,1_A_aegypti,201,180
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,21_C_quinquefasciatus,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,2_A_albimanus,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,3_A_arabiensis,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,4_A_atroparvus,201,121
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,5_A_christyi,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,7_A_darlingi,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,8_A_dirus,201,201
ANODA01385_OMA793899_W5JTP4_Anopheles_darlingi,9_A_epiroctus,201,201
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,10_A_farauti,221,118
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,11_funestris,221,205
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,12_A_gambiae,221,154
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,13_A_maculatus,221,198
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,14_A_melas,221,197
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,15_A_merus,221,195
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,16_A_minimus,221,186
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,17_A_quad_combined,221,197
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,18_A_sinensis,221,191
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,19_A_stephensi,221,196
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,1_A_aegypti,221,198
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,21_C_quinquefasciatus,221,158
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,2_A_albimanus,221,203
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,3_A_arabiensis,221,197
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,4_A_atroparvus,221,121
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,5_A_christyi,221,206
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,7_A_darlingi,221,219
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,8_A_dirus,221,197
ANODA01492_OMA958126_W5JM99_Anopheles_darlingi,9_A_epiroctus,221,194
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,11_funestris,655,654
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,12_A_gambiae,655,640
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,13_A_maculatus,655,560
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,14_A_melas,655,653
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,15_A_merus,655,627
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,16_A_minimus,655,638
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,17_A_quad_combined,655,569
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,18_A_sinensis,655,506
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,19_A_stephensi,655,622
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,1_A_aegypti,655,599
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,20_D_melanogaster,655,151
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,21_C_quinquefasciatus,655,663
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,2_A_albimanus,655,655
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,3_A_arabiensis,655,655
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,4_A_atroparvus,655,459
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,5_A_christyi,655,635
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,7_A_darlingi,655,655
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,8_A_dirus,655,654
ANODA01579_OMA1191966_W5JBV6_Anopheles_darlingi,9_A_epiroctus,655,629
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,11_funestris,1604,1404
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,12_A_gambiae,1604,908
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,13_A_maculatus,1604,393
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,14_A_melas,1604,489
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,15_A_merus,1604,388
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,16_A_minimus,1604,701
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,17_A_quad_combined,1604,776
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,18_A_sinensis,1604,293
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,19_A_stephensi,1604,1090
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,1_A_aegypti,1604,751
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,20_D_melanogaster,1604,273
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,21_C_quinquefasciatus,1604,886
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,2_A_albimanus,1604,1572
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,3_A_arabiensis,1604,1105
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,4_A_atroparvus,1604,506
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,5_A_christyi,1604,573
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,7_A_darlingi,1604,1597
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,8_A_dirus,1604,1257
ANODA01580_OMA456338_W5JAJ8_Anopheles_darlingi,9_A_epiroctus,1604,432
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,11_funestris,802,554
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,12_A_gambiae,802,459
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,13_A_maculatus,802,497
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,14_A_melas,802,562
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,15_A_merus,802,542
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,16_A_minimus,802,560
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,17_A_quad_combined,802,555
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,18_A_sinensis,802,396
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,19_A_stephensi,802,567
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,1_A_aegypti,802,545
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,20_D_melanogaster,802,401
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,21_C_quinquefasciatus,802,545
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,2_A_albimanus,802,531
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,3_A_arabiensis,802,555
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,4_A_atroparvus,802,257
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,5_A_christyi,802,563
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,7_A_darlingi,802,608
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,8_A_dirus,802,535
ANODA01604_OMA796653_W5JQZ0_Anopheles_darlingi,9_A_epiroctus,802,533
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,10_A_farauti,666,119
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,11_funestris,666,497
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,12_A_gambiae,666,666
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,13_A_maculatus,666,646
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,14_A_melas,666,666
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,15_A_merus,666,649
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,16_A_minimus,666,664
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,17_A_quad_combined,666,666
ANODA01666_OMA1223272_W5JAQ0_Anopheles_darlingi,18_A_sinensis,666,386
